gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
HK3,1.9292038113695,6.20904316546763,13.1752312767199,2.07958173360187e-33,7.22381023251175e-33,64.2830792950839,Up
ALDH7A1,-0.940262031653741,11.7426258992806,-12.8501772652849,4.30278597997461e-32,1.41991937339162e-31,61.2655440517108,NS
PFKP,0.952071220930227,12.7159952038369,12.4506625066834,1.70474285417464e-30,5.35776325597744e-30,57.6021539336883,NS
LDHC,-2.41088059593022,2.828148441247,-11.8036451299904,5.894263935849e-28,1.7682791807547e-27,51.7847570429495,Down
DLAT,-0.666940972222218,11.0460455635492,-11.2553733951376,7.40695165245253e-26,2.12547308287768e-25,46.977851527275,NS
PDHB,-0.511645106589145,11.5253932853717,-10.8329235073038,2.82798389718349e-24,7.77695571725459e-24,43.3579603703395,NS
PGM2,-0.672023901808781,9.50369784172662,-10.6966696589175,9.00873081329727e-24,2.37830493471048e-23,42.2069288153341,NS
PCK2,-1.43056193475451,11.1056139088729,-10.3635572460469,1.47841550395235e-22,3.75290089464828e-22,39.4283518510224,Down
ACSS1,-0.916398013565886,11.5098129496403,-10.2160556853632,5.02133989025699e-22,1.2274386398406e-21,38.2145761106538,NS
PKM,0.663363210594311,15.9608633093525,10.1664077017813,7.56069641807664e-22,1.7821641556895e-21,37.8083753850988,NS
MINPP1,-0.51979481589147,9.4742685851319,-9.75075092300727,2.2200751499645e-20,5.05258482405715e-20,34.4553863721536,NS
GALM,-0.811382832687334,11.2560623501199,-9.54123908712387,1.18048095797253e-19,2.59705810753956e-19,32.7986796185154,NS
TPI1,0.481088501291987,14.630479616307,9.48068547965416,1.90536191769836e-19,4.05657698606747e-19,32.3241513705815,NS
HK1,-0.844846737726093,11.5479040767386,-9.0005453756358,7.91965607106159e-18,1.63342906465645e-17,28.6320407230224,NS
GCK,-1.31141056201549,2.97022565947242,-8.91507838695294,1.51750815292942e-17,3.03501630585885e-17,27.9883155455626,Down
ADH6,-2.30918758074934,7.44259952038369,-8.65560446006879,1.06564150748347e-16,2.06859822040908e-16,26.0598400004677,Down
ALDH3A2,-0.604013242894054,12.6013669064748,-8.39761987879083,7.12039605989687e-16,1.34270325700912e-15,24.181938630181,NS
ALDOC,-1.54479425064599,8.03064988009592,-8.30181273500934,1.42722551438797e-15,2.61658010971128e-15,23.4948244963733,Down
LDHAL6A,-1.23454119024547,1.9904726618705,-8.06858630251092,7.57813232446962e-15,1.35177495517566e-14,21.8459646533689,Down
ALDH3A1,1.23398167797157,5.94414556354916,7.76446113365718,6.35466560992174e-14,1.10370507961799e-13,19.7477880204715,Up
LDHB,-0.505885820413433,15.099448441247,-7.33914136341691,1.12595625213886e-12,1.90546442669653e-12,16.9155876995724,NS
GPI,0.423204134366922,14.1701918465228,7.16413567307382,3.54934301415529e-12,5.85641597335623e-12,15.7859207633779,NS
ACSS2,0.625748546511623,12.1313189448441,7.03075151376771,8.39741246875154e-12,1.35177859253074e-11,14.9392501170972,NS
