gene_id,mean_logFC,n_sig,robustness_class,logFC_paired,FDR_paired,logFC_gtx,FDR_gtx,logFC_tcga,FDR_tcga,in_hsa00010,in_hsa00030,in_hsa00020
PFKP,1.21408127999262,1,SENSITIVE_TO_COMPARATOR,0.8971875,0.000210662867341842,1.79298511904762,3.4175965505746e-18,0.952071220930227,5.35776325597744e-30,TRUE,TRUE,FALSE
PKM,1.10732808078011,1,SENSITIVE_TO_COMPARATOR,0.819687499999998,1.15972691302244e-05,1.83893353174603,1.02328823303217e-17,0.663363210594311,1.7821641556895e-21,TRUE,FALSE,FALSE
HKDC1,0.997902104866492,1,SENSITIVE_TO_COMPARATOR,1.16521875,1.2700981042556e-06,0.976378472222221,0.00161325524932358,0.852109092377256,8.24386738400937e-10,TRUE,FALSE,FALSE
G6PC3,0.908360172880519,1,SENSITIVE_TO_COMPARATOR,0.575,4.83637393850637e-06,1.47676091269841,4.4007499335248e-17,0.673319605943148,7.94171373868273e-34,TRUE,FALSE,FALSE
ACSS1,-0.819679794204502,1,SENSITIVE_TO_COMPARATOR,-1.10075,3.97660379446803e-06,-0.44189136904762,0.054650893207515,-0.916398013565886,1.2274386398406e-21,TRUE,FALSE,FALSE
TPI1,0.738494447520609,1,SENSITIVE_TO_COMPARATOR,0.584375,2.27532958318194e-07,1.15001984126984,7.13269970709868e-09,0.481088501291987,4.05657698606747e-19,TRUE,FALSE,FALSE
ENO1,0.733798641872767,1,SENSITIVE_TO_COMPARATOR,0.3396875,0.0367261403864883,1.57759424603174,4.1488158516618e-13,0.284114179586562,4.15845226506893e-06,TRUE,FALSE,FALSE
GPI,0.704072343730774,1,SENSITIVE_TO_COMPARATOR,0.4946875,0.000434563962448757,1.1943253968254,3.83679937277608e-09,0.423204134366922,5.85641597335623e-12,TRUE,TRUE,FALSE
ACSS2,0.688384436138794,1,SENSITIVE_TO_COMPARATOR,0.2896875,0.143212249831664,1.14971726190476,4.98153974710848e-07,0.625748546511623,1.35177859253074e-11,TRUE,FALSE,FALSE
PGAM1,0.533457956503012,1,SENSITIVE_TO_COMPARATOR,0.355312499999998,0.00702152876072394,1.09631944444444,2.36267185181982e-08,0.148741925064599,0.0123397679240582,TRUE,FALSE,FALSE
PGM1,0.403769925864401,1,SENSITIVE_TO_COMPARATOR,0.0537499999999988,0.696308877037792,1.12803224206349,5.22462938764738e-09,0.029527535529715,0.662320142055694,TRUE,TRUE,FALSE
