gene_id,logFC_paired,FDR_paired,reg_paired,logFC_gtx,FDR_gtx,reg_gtx,logFC_tcga,FDR_tcga,reg_tcga,sig_paired,sig_gtx,sig_tcga,n_sig,dir_paired,dir_gtx,dir_tcga,dir_agree,robustness_class
LDHB,-0.3259375,0.0358040407194538,NS,0.693308531746031,0.0020009132032159,NS,-0.505885820413433,1.90546442669653e-12,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
LDHC,-3.059153125,2.52476186569288e-12,Down,-1.66477068452381,0.000132610593940849,Down,-2.41088059593022,1.7682791807547e-27,Down,TRUE,TRUE,TRUE,3,-1,-1,-1,TRUE,ROBUST
MINPP1,-0.246156250000001,0.0542914139524384,NS,0.652718749999999,2.90631980782237e-05,NS,-0.51979481589147,5.05258482405715e-20,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
PCK1,-5.11184375,6.23861887878482e-10,Down,-3.27097371031746,1.97917754530008e-08,Down,-4.15913041020669,1.06857861345081e-40,Down,TRUE,TRUE,TRUE,3,-1,-1,-1,TRUE,ROBUST
PCK2,-1.69303125,3.10643865516909e-05,Down,-0.170576884920635,0.493064221738869,NS,-1.43056193475451,3.75290089464828e-22,Down,TRUE,FALSE,TRUE,2,-1,-1,-1,TRUE,PARTIALLY_ROBUST
PDHA1,-0.3425,0.0207364841609198,NS,0.74797619047619,0.000112904672446719,NS,-0.175600775193797,0.00622674314269686,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
PDHA2,0,1,NS,-0.292931597222224,1.62655550433859e-07,NS,0.0137434027777778,0.295834796353035,NS,FALSE,FALSE,FALSE,0,0,-1,1,FALSE,INCONCLUSIVE
PDHB,-0.602499999999999,1.77912493049347e-06,NS,0.562114583333332,0.000604855052013414,NS,-0.511645106589145,7.77695571725459e-24,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
PFKL,-0.641875000000001,1.2700981042556e-06,NS,-0.484756944444445,0.00013112580804722,NS,-0.325396479328163,7.21688672230423e-08,NS,FALSE,FALSE,FALSE,0,-1,-1,-1,TRUE,INCONCLUSIVE
PFKM,-0.15209375,0.360813017405863,NS,0.934819444444445,4.24067564068178e-06,NS,-0.298882105943151,4.18383015676549e-05,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
PFKP,0.8971875,0.000210662867341842,NS,1.79298511904762,3.4175965505746e-18,Up,0.952071220930227,5.35776325597744e-30,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
PGAM1,0.355312499999998,0.00702152876072394,NS,1.09631944444444,2.36267185181982e-08,Up,0.148741925064599,0.0123397679240582,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
PGAM2,-5.17100625,1.26005165042003e-13,Down,-3.00005674603174,2.14528160459606e-13,Down,-4.49539257105941,3.15722695912997e-78,Down,TRUE,TRUE,TRUE,3,-1,-1,-1,TRUE,ROBUST
PGAM4,-0.27318125,0.198802674279098,NS,0.932717559523808,5.02418940606697e-05,NS,-0.473689195736431,1.94864137963063e-05,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
PGK1,0.1721875,0.168814701814376,NS,0.946190476190476,1.36374013352096e-05,NS,-0.124496124031007,0.0787131029539557,NS,FALSE,FALSE,FALSE,0,1,1,-1,FALSE,INCONCLUSIVE
PGK2,0.025865625,0.695617127250067,NS,-0.587661061507939,1.25490737980257e-07,NS,0.0672211644056846,0.0993230514334164,NS,FALSE,FALSE,FALSE,0,1,-1,1,FALSE,INCONCLUSIVE
PGM1,0.0537499999999988,0.696308877037792,NS,1.12803224206349,5.22462938764738e-09,Up,0.029527535529715,0.662320142055694,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
PGM2,-0.251718750000001,0.0974415380113754,NS,0.0934126984126977,0.589821800917181,NS,-0.672023901808781,2.37830493471048e-23,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
PKLR,-3.372759375,5.3477708522031e-05,Down,-1.12801264880953,0.0635732033164998,NS,-2.01973762112402,1.17908766577587e-09,Down,TRUE,FALSE,TRUE,2,-1,-1,-1,TRUE,PARTIALLY_ROBUST
PKM,0.819687499999998,1.15972691302244e-05,NS,1.83893353174603,1.02328823303217e-17,Up,0.663363210594311,1.7821641556895e-21,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
TPI1,0.584375,2.27532958318194e-07,NS,1.15001984126984,7.13269970709868e-09,Up,0.481088501291987,4.05657698606747e-19,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
