PC1,PC2,PC3,PC4,PC5,gene
-0.158130703378525,-0.101147158501893,-0.160264084352448,-0.037592517969952,-0.124299820337075,GALM
-0.184574964678467,0.0661016809511552,0.0399707097656258,-0.0695395062829207,-0.15334765021216,GAPDH
0.00768624935377392,-0.15028897373421,0.1398673238442,-0.00809516802235813,-0.0889142722425573,GAPDHS
0.0100960650204392,-0.022301414953302,0.155931981513799,-0.32214131209192,-0.0082124371272535,GCK
-0.190353968508417,0.0334768982167731,0.0636630966476953,0.0169140963134353,-0.0337832408755689,GPI
-0.0907233195125537,0.0529332513271995,0.305443722577805,-0.0776091844817048,0.040727695451251,HK1
-0.0859269833197484,0.244091629101974,0.0646087012272975,0.0851286499334847,-0.176376430580979,HK2
-0.053352293775283,-0.0580729082032723,0.0452598068268918,-0.133501426047495,-0.248211861810676,HK3
-0.11703945850503,0.0199273282450405,-0.0608357494366517,0.110669204932208,-0.145430657289731,HKDC1
-0.14831988455419,0.0945842905208669,0.178598750788966,0.0639878412073587,-0.120576126868599,LDHA
-0.00673705866185108,-0.062137769294853,0.0273820953038213,-0.120144022916381,0.164755924542358,LDHAL6A
0.00674250716575463,-0.0596028699836832,0.135052633470642,0.000824912953204214,0.128354634668528,LDHAL6B
-0.185220100317876,-0.0606764501956578,-0.0128838233858605,0.0307664077281354,0.0524574298666579,LDHB
-0.0235769046391307,-0.167703474316992,-0.0116040051603127,-0.0208550829547147,-0.0160145371226552,LDHC
-0.152232572458733,0.0027808983663757,0.128122191334573,0.151271292734569,-0.00587893993573155,MINPP1
-0.0607667534811954,-0.205567953288384,-0.17278313824732,0.0331721162671189,-0.0266165688517697,PCK1
-0.13053407689545,-0.170105169585814,-0.055590878367879,0.066362586981164,-0.10335543897067,PCK2
-0.178272869349642,-0.0378954947677143,-0.0616518867411464,-0.0782495666689694,0.145964263678128,PDHA1
0.00958177756970223,-0.138113139200584,0.0474407106947122,-0.0667215794674444,-0.0354284683480484,PDHA2
-0.179847508835123,-0.0302706272011282,0.0242846056781554,-0.0419006970328288,0.141328674644179,PDHB
-0.0595498294177064,-0.136143469458964,0.0994308953078759,0.091684028715052,-0.175896569730321,PFKL
-0.170604663110022,0.00522093426708623,-0.0170926480149625,0.0464137734919591,0.247537838752859,PFKM
-0.152791607427932,0.17591460125508,0.0850999133343463,0.0207352719439445,-0.00644268006323494,PFKP
-0.191095447595384,0.0515871665968166,0.0688293037187841,0.103280740318451,-0.00868236388782779,PGAM1
0.00460548360268736,-0.158401113372295,0.067027550108572,-0.297393815296374,0.101037360583871,PGAM2
-0.0666226500469755,0.0524623543235285,-0.0208530857223564,0.271427121688541,0.071676548998126,PGAM4
-0.17955159262524,0.0337880614756198,0.107636676007137,0.155903541917103,0.00315389855083815,PGK1
0.014341833566652,-0.122929857961029,0.147004648992283,-0.00408503631331358,-0.127115001928347,PGK2
-0.17162703444011,0.0778634518824693,0.0218225481717337,0.0266991166610584,0.0690160345960103,PGM1
-0.130728220369183,-0.0533841716004777,0.178957542077495,0.17336797556891,0.122773129310147,PGM2
-0.0748295445786712,-0.18209386844179,-0.279361769198742,0.0464308119884009,-0.13327588093485,PKLR
-0.178714186264553,0.120016505883009,0.111109998986652,-0.0155891763610313,-0.0731049495951621,PKM
-0.191450138938056,0.0517124669110032,0.0546380996821289,-0.0498289003699001,-0.0859132666201759,TPI1
