sample,condition,study,median_expr,iqr_expr,var_expr,min_expr,max_expr,pct_zero,median_z,flag_outlier
TCGA-UZ-A9Q1-01,KIRP,TCGA,10.81,9.61425,32.0868734819208,0,17.73,15.1515151515152,0.374803936653473,FALSE
TCGA-P4-AAVM-01,KIRP,TCGA,11.165,8.93625,29.9211827172494,0,17.03,15.1515151515152,1.34620817726011,FALSE
TCGA-BQ-7051-01,KIRP,TCGA,11.04,9.67625,28.2586118609417,0,17.06,7.57575757575758,1.00416443056763,FALSE
TCGA-BQ-7053-01,KIRP,TCGA,10.78,6.536,24.7738877219977,0,17.18,6.06060606060606,0.292713437447279,FALSE
TCGA-SX-A71S-01,KIRP,TCGA,9.948,7.82175,23.3844061433566,0,15.45,9.09090909090909,-1.98392974053787,FALSE
TCGA-DW-5560-01,KIRP,TCGA,10.32,6.905,22.7681738762238,0,16.82,9.09090909090909,-0.96600755038105,FALSE
TCGA-SX-A71R-01,KIRP,TCGA,10.615,6.67825,24.5884007741259,0,16.88,12.1212121212121,-0.158784308186802,FALSE
TCGA-BQ-5881-01,KIRP,TCGA,10.88,5.32625,26.0801554594406,0,17.63,10.6060606060606,0.566348434801258,FALSE
TCGA-UZ-A9PV-01,KIRP,TCGA,10.7,8.044,28.2552542701935,0,17.4,9.09090909090909,0.0738054395640871,FALSE
TCGA-SX-A71U-01,KIRP,TCGA,10.675,6.88775,25.7439921992098,0,17.67,7.57575757575758,0.00539669022559501,FALSE
TCGA-B9-5156-01,KIRP,TCGA,10.805,6.79425,26.9709397839161,0,17.51,10.6060606060606,0.361122186785772,FALSE
TCGA-SX-A7SU-01,KIRP,TCGA,10.041,7.97275,24.0455243731935,0,16.09,15.1515151515152,-1.72944919299867,FALSE
TCGA-5P-A9K8-01,KIRP,TCGA,10.275,9.3505,29.8557883012308,0,16.75,10.6060606060606,-1.08914329919035,FALSE
TCGA-SX-A7SQ-01,KIRP,TCGA,10.395,7.35175,26.0099584637483,0,17.63,6.06060606060606,-0.760781302365564,FALSE
TCGA-SX-A7SO-01,KIRP,TCGA,11.28,7.45425,27.4890944677879,0,17.06,9.09090909090909,1.6608884242172,FALSE
TCGA-B1-5398-01,KIRP,TCGA,11.1,7.97525,28.6152094256131,0,17.37,12.1212121212121,1.16834542898002,FALSE
TCGA-BQ-5883-01,KIRP,TCGA,10.78,7.9275,24.7036404503497,0,16.18,3.03030303030303,0.292713437447279,FALSE
TCGA-DW-7963-01,KIRP,TCGA,11.03,5.97,25.1805884689977,0,16.75,15.1515151515152,0.97680093083224,FALSE
TCGA-2Z-A9JJ-01,KIRP,TCGA,10.74,7.976,28.210167844056,0,18.01,9.09090909090909,0.183259438505683,FALSE
TCGA-G7-6795-01,KIRP,TCGA,10.225,7.586,26.4410342867413,0,17.02,15.1515151515152,-1.22596079786734,FALSE
TCGA-WN-AB4C-01,KIRP,TCGA,10.93,7.29875,26.1610269634033,0,17.1,13.6363636363636,0.703165933478252,FALSE
TCGA-2Z-A9JK-01,KIRP,TCGA,10.96,7.06075,26.7991977867319,0,17.7,9.09090909090909,0.78525643268445,FALSE
TCGA-DW-7837-01,KIRP,TCGA,10.76,7.5255,26.1757022153566,0,16.78,12.1212121212121,0.237986437976479,FALSE
TCGA-B1-7332-01,KIRP,TCGA,10.67,7.62,26.9523523754033,0,16.95,9.09090909090909,-0.00828505964210634,FALSE
TCGA-B1-A47N-01,KIRP,TCGA,10.15,6.6365,21.9262158741259,0,16.53,12.1212121212121,-1.43118704588283,FALSE
TCGA-DW-7836-01,KIRP,TCGA,10.115,7.1575,25.2060604088858,0,16.61,10.6060606060606,-1.52695929495672,FALSE
TCGA-SX-A71W-01,KIRP,TCGA,10.53,8.9025,28.0519420503497,0,17.86,10.6060606060606,-0.391374055937681,FALSE
TCGA-2Z-A9JD-01,KIRP,TCGA,10.915,7.59725,28.4007566249417,0,16.62,18.1818181818182,0.662120683875153,FALSE
TCGA-B3-4104-01,KIRP,TCGA,10.155,6.575,22.2212365074592,0,16.53,9.09090909090909,-1.41750529601513,FALSE
TCGA-MH-A55W-01,KIRP,TCGA,10.41,8.53,28.1157244095571,0,16.66,16.6666666666667,-0.719736052762464,FALSE
TCGA-EV-5901-01,KIRP,TCGA,10.215,8.1975,24.708374480655,0,15.84,7.57575757575758,-1.25332429760273,FALSE
TCGA-B3-3925-01,KIRP,TCGA,10.47,6.69975,23.8706004335315,0,16.46,9.09090909090909,-0.555555054350077,FALSE
TCGA-2Z-A9JL-01,KIRP,TCGA,10.69,7.35125,24.7386955890816,0,16.98,7.57575757575758,0.0464419398286942,FALSE
TCGA-V9-A7HT-01,KIRP,TCGA,10.925,7.807,25.9049410331585,0,17.4,10.6060606060606,0.689484183610555,FALSE
TCGA-2Z-A9JO-01,KIRP,TCGA,11.605,7.48275,27.7447190620047,0,17.24,12.1212121212121,2.55020216561765,FALSE
TCGA-MH-A856-01,KIRP,TCGA,10.15,8.7215,26.5446278536131,0,17.84,10.6060606060606,-1.43118704588282,FALSE
TCGA-2Z-A9JM-01,KIRP,TCGA,10.7,7.22925,25.6813770037949,0,17.12,12.1212121212121,0.0738054395640871,FALSE
TCGA-B3-4103-01,KIRP,TCGA,10.595,6.68075,22.8866879487739,0,16.08,7.57575757575758,-0.213511307657597,FALSE
TCGA-A4-7997-01,KIRP,TCGA,11.105,7.00075,26.6387347483636,0,17.56,7.57575757575758,1.18202717884773,FALSE
TCGA-MH-A560-01,KIRP,TCGA,10.615,9.02275,31.5378774920746,0,17.81,19.6969696969697,-0.158784308186797,FALSE
TCGA-BQ-5885-01,KIRP,TCGA,10.46,6.00525,22.302664251049,0,17.95,4.54545454545455,-0.58291855408547,FALSE
TCGA-A4-8098-01,KIRP,TCGA,10.815,8.307,26.7969089012238,0,18.16,7.57575757575758,0.388485686521174,FALSE
TCGA-2Z-A9JP-01,KIRP,TCGA,11.095,7.12125,26.618030887042,0,17.39,10.6060606060606,1.15466367911232,FALSE
TCGA-MH-A857-01,KIRP,TCGA,10.0785,8.54875,25.7082571998881,0,15.96,9.09090909090909,-1.62683606899092,FALSE
TCGA-KV-A6GE-01,KIRP,TCGA,10.71,6.9845,25.6652813862494,0,17.13,12.1212121212121,0.10116893929949,FALSE
TCGA-B3-3926-01,KIRP,TCGA,10.56,9.199,28.4212697932984,0,16.06,13.6363636363636,-0.309283556731492,FALSE
TCGA-SX-A71V-01,KIRP,TCGA,10.91,7.34175,26.5234972382867,0,17.2,9.09090909090909,0.648438934007456,FALSE
TCGA-B9-4114-01,KIRP,TCGA,10.49,7.89625,26.55054487669,0,17.49,13.6363636363636,-0.500828054879277,FALSE
TCGA-MH-A55Z-01,KIRP,TCGA,10.22,8.40025,28.4119218864802,0,17.22,21.2121212121212,-1.23964254773503,FALSE
TCGA-5P-A9KF-01,KIRP,TCGA,10.72,7.23775,24.1631244227879,0,16.96,6.06060606060606,0.128532439034883,FALSE
TCGA-B1-A47O-01,KIRP,TCGA,10.775,7.62675,26.9087967748252,0,18.63,10.6060606060606,0.279031687579573,FALSE
TCGA-MH-A561-01,KIRP,TCGA,10.28,8.12175,27.6406201980699,0,16.65,13.6363636363636,-1.07546154932264,FALSE
TCGA-GL-8500-01,KIRP,TCGA,10.405,9.0275,28.5301636239627,0,17.16,12.1212121212121,-0.733417802630166,FALSE
TCGA-5P-A9KE-01,KIRP,TCGA,11.185,8.09225,28.7788199461538,0,17.46,13.6363636363636,1.40093517673091,FALSE
TCGA-SX-A7SL-01,KIRP,TCGA,10.215,8.428,30.2958801613054,0,17.51,15.1515151515152,-1.25332429760273,FALSE
TCGA-SX-A7SR-01,KIRP,TCGA,10.525,7.68225,26.8199499702214,0,16.7,10.6060606060606,-0.405055805805382,FALSE
TCGA-B9-4115-01,KIRP,TCGA,10.705,6.82825,25.8442841655012,0,17.07,10.6060606060606,0.0874871894317885,FALSE
TCGA-BQ-7055-01,KIRP,TCGA,10.1375,8.3455,25.5351410009907,0,16.09,10.6060606060606,-1.46539142055207,FALSE
TCGA-BQ-5884-01,KIRP,TCGA,11.035,6.966,24.562063376655,0,16.11,9.09090909090909,0.990482680699936,FALSE
TCGA-BQ-5886-01,KIRP,TCGA,10.86,9.31725,30.8613630302284,0,18.09,12.1212121212121,0.511621435330462,FALSE
TCGA-WN-A9G9-01,KIRP,TCGA,10.695,6.8535,25.6809714144522,0,17.32,15.1515151515152,0.0601236896963907,FALSE
TCGA-HE-A5NH-01,KIRP,TCGA,10.23,9.22125,28.0438470920746,0,16.31,19.6969696969697,-1.21227904799963,FALSE
TCGA-G7-7502-01,KIRP,TCGA,10.885,8.02175,25.2889811312354,0,16.54,13.6363636363636,0.580030184668959,FALSE
TCGA-A4-8310-01,KIRP,TCGA,11.11,6.8425,25.5537555337622,0,17.52,7.57575757575758,1.19570892871542,FALSE
TCGA-2Z-A9JQ-01,KIRP,TCGA,10.18,8.92925,28.9740947657343,0,16.74,21.2121212121212,-1.34909654667663,FALSE
TCGA-BQ-5887-01,KIRP,TCGA,10.48,8.35925,27.9770855172494,0,17.94,15.1515151515152,-0.528191554614675,FALSE
TCGA-Y8-A8RY-01,KIRP,TCGA,10.43,7.176,24.1655488895105,0,16.98,10.6060606060606,-0.665009053291669,FALSE
TCGA-G7-A4TM-01,KIRP,TCGA,10.515,7.19625,23.4993593606061,0,17,12.1212121212121,-0.43241930554078,FALSE
TCGA-HE-A5NL-01,KIRP,TCGA,10.625,7.5575,25.4120291459207,0,16.69,15.1515151515152,-0.131420808451399,FALSE
TCGA-G7-6797-01,KIRP,TCGA,10.67,7.834,25.0370338769231,0,16.6,10.6060606060606,-0.00828505964210634,FALSE
TCGA-EV-5903-01,KIRP,TCGA,10.42,6.9755,24.5694823944802,0,16.4,7.57575757575758,-0.692372553027067,FALSE
TCGA-DW-7838-01,KIRP,TCGA,10.785,7.57925,27.7139070465385,0,17.01,9.09090909090909,0.306395187314976,FALSE
TCGA-2Z-A9JN-01,KIRP,TCGA,10.715,7.952,25.9566676668648,0,16.68,7.57575757575758,0.114850689167186,FALSE
TCGA-A4-8311-01,KIRP,TCGA,10.435,7.7405,25.8101963682984,0,16.68,12.1212121212121,-0.651327303423967,FALSE
TCGA-A4-8515-01,KIRP,TCGA,10.61,8.25025,27.6602144578089,0,16.6,12.1212121212121,-0.172466058054498,FALSE
TCGA-A4-8312-01,KIRP,TCGA,10.695,7.5185,24.0993408687739,0,16.42,7.57575757575758,0.0601236896963907,FALSE
TCGA-G7-A8LC-01,KIRP,TCGA,10.42,9.47125,29.0409175239627,0,17.65,13.6363636363636,-0.692372553027067,FALSE
TCGA-2Z-A9JT-01,KIRP,TCGA,10.535,6.87175,27.5530713475525,0,17.89,16.6666666666667,-0.377692306069984,FALSE
TCGA-IZ-8195-01,KIRP,TCGA,10.7,8.1345,27.1789222913497,0,17.35,7.57575757575758,0.0738054395640871,FALSE
TCGA-5P-A9K0-01,KIRP,TCGA,11.285,8.913,29.2396481459417,0,17.57,10.6060606060606,1.6745701740849,FALSE
TCGA-B9-7268-01,KIRP,TCGA,10.87,8.429,28.8415322080769,0,17.47,15.1515151515152,0.538984935065865,FALSE
TCGA-B9-5155-01,KIRP,TCGA,10.305,9.5395,26.5163426382028,0,16.41,7.57575757575758,-1.00705279998415,FALSE
TCGA-B1-A47M-01,KIRP,TCGA,10.3,7.53525,25.3002339151515,0,17.21,10.6060606060606,-1.02073454985185,FALSE
TCGA-UZ-A9PZ-01,KIRP,TCGA,10.48,7.088,24.2242800979021,0,16.65,9.09090909090909,-0.528191554614675,FALSE
TCGA-A4-7584-01,KIRP,TCGA,10.56,7.869,24.7374001896061,0,16.67,6.06060606060606,-0.309283556731487,FALSE
TCGA-IZ-8196-01,KIRP,TCGA,10.068,8.18525,25.2716640549021,0,15.86,9.09090909090909,-1.65556774371309,FALSE
TCGA-B1-A657-01,KIRP,TCGA,10.745,9.16975,26.385600308683,0,16.5,10.6060606060606,0.196941188373385,FALSE
TCGA-B9-4116-01,KIRP,TCGA,10.325,8.468,25.668980317634,0,16.87,10.6060606060606,-0.952325800513353,FALSE
TCGA-B1-A656-01,KIRP,TCGA,10.835,5.35475,25.2763864941725,0,17.85,10.6060606060606,0.44321268599197,FALSE
TCGA-B1-A654-01,KIRP,TCGA,10.185,7.3325,25.3943732270396,0,17.19,13.6363636363636,-1.33541479680893,FALSE
TCGA-MH-A562-01,KIRP,TCGA,10.0625,7.13425,24.3856635552448,0,17.67,13.6363636363636,-1.67061766856756,FALSE
TCGA-BQ-7056-01,KIRP,TCGA,10.79,7.26475,26.3648691889627,0,17.75,10.6060606060606,0.320076937182672,FALSE
TCGA-IA-A40X-01,KIRP,TCGA,10.695,7.00625,26.2353870560956,0,17.12,12.1212121212121,0.0601236896963907,FALSE
TCGA-PJ-A5Z8-01,KIRP,TCGA,10.645,6.66225,22.8834211193753,0,16.26,9.09090909090909,-0.0766938089806033,FALSE
TCGA-A4-8517-01,KIRP,TCGA,11.085,7.1885,28.1358053605431,0,16.89,12.1212121212121,1.12730017937693,FALSE
TCGA-BQ-5876-01,KIRP,TCGA,10.206,6.7575,27.6580375411935,0,16.96,13.6363636363636,-1.27795144736459,FALSE
TCGA-B9-A5W7-01,KIRP,TCGA,10.815,8.7355,29.5254537240676,0,17.48,13.6363636363636,0.388485686521169,FALSE
TCGA-A4-7732-01,KIRP,TCGA,10.73,8.787,26.2113232752098,0,17.24,13.6363636363636,0.155895938770286,FALSE
TCGA-EV-5902-01,KIRP,TCGA,10.555,7.53925,28.9504086584522,0,17.61,9.09090909090909,-0.322965306599189,FALSE
