database,direction,pathway_id,pathway_name,significant_LFC0,significant_LFC05,significant_LFC1,n_thresholds_sig
KEGG,Down,hsa04610,Complement and coagulation cascades,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04611,Platelet activation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04612,Antigen processing and presentation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04613,Neutrophil extracellular trap formation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04614,Renin-angiotensin system,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04620,Toll-like receptor signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04621,NOD-like receptor signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04622,RIG-I-like receptor signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04623,Cytosolic DNA-sensing pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04625,C-type lectin receptor signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04630,JAK-STAT signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04640,Hematopoietic cell lineage,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04650,Natural killer cell mediated cytotoxicity,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04657,IL-17 signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04658,Th1 and Th2 cell differentiation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04659,Th17 cell differentiation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04660,T cell receptor signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04662,B cell receptor signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04664,Fc epsilon RI signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04666,Fc gamma R-mediated phagosome formation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04668,TNF signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04670,Leukocyte transendothelial migration,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04672,Intestinal immune network for IgA production,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04710,Circadian rhythm,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04713,Circadian entrainment,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04714,Thermogenesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04720,Long-term potentiation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04721,Synaptic vesicle cycle,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04722,Neurotrophin signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04723,Retrograde endocannabinoid signaling,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04724,Glutamatergic synapse,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04725,Cholinergic synapse,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04726,Serotonergic synapse,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04727,GABAergic synapse,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04728,Dopaminergic synapse,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04730,Long-term depression,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04740,Olfactory transduction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04742,Taste transduction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04744,Phototransduction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04750,Inflammatory mediator regulation of TRP channels,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04810,Regulation of actin cytoskeleton,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04814,Motor proteins,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04820,Cytoskeleton in muscle cells,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04910,Insulin signaling pathway,TRUE,TRUE,TRUE,3
KEGG,Down,hsa04911,Insulin secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04912,GnRH signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04913,Ovarian steroidogenesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04914,Progesterone-mediated oocyte maturation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04915,Estrogen signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04916,Melanogenesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04917,Prolactin signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04918,Thyroid hormone synthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04919,Thyroid hormone signaling pathway,FALSE,FALSE,FALSE,0
