gene_id,standard_DEG,treat_DEG
SLC9A3R2,TRUE,TRUE
TCL6,TRUE,TRUE
SOX7,TRUE,TRUE
TNFSF9,TRUE,TRUE
IGDCC3,TRUE,TRUE
FOLR3,TRUE,TRUE
RASD1,TRUE,TRUE
TDGF1,TRUE,TRUE
ADCY4,TRUE,TRUE
CGA,TRUE,FALSE
CASZ1,TRUE,TRUE
RP11-259N19.1,TRUE,TRUE
GPC5,TRUE,TRUE
PROM2,TRUE,TRUE
AC007879.6,TRUE,TRUE
FAM107A,TRUE,TRUE
RP11-65E22.2,TRUE,TRUE
PGAM2,TRUE,TRUE
CLNK,TRUE,TRUE
C7,TRUE,TRUE
PSKH2,TRUE,TRUE
GPX1,TRUE,TRUE
KLF9,TRUE,TRUE
SCUBE1,TRUE,TRUE
RP11-517M22.1,TRUE,TRUE
C9orf24,TRUE,TRUE
ATP2C2,TRUE,TRUE
NOS1,TRUE,TRUE
AC064875.2,TRUE,TRUE
IGFBP5,TRUE,TRUE
SLC43A2,TRUE,TRUE
LINC01537,TRUE,TRUE
CCBE1,TRUE,TRUE
ITGAX,TRUE,TRUE
CTD-2515H24.2,TRUE,TRUE
C14orf37,TRUE,TRUE
FOXI2,TRUE,TRUE
ANXA9,TRUE,TRUE
SDS,TRUE,FALSE
HCRTR2,TRUE,TRUE
CLDN19,TRUE,TRUE
CCM2L,TRUE,TRUE
MUC20,TRUE,TRUE
FAM169A,TRUE,TRUE
ALDOB,TRUE,TRUE
TFCP2L1,TRUE,TRUE
CCSER1,TRUE,TRUE
MYOM1,TRUE,TRUE
ZNF750,TRUE,TRUE
TIE1,TRUE,TRUE
RP11-849I19.1,TRUE,TRUE
LINC01213,TRUE,TRUE
GPC3,TRUE,TRUE
TNNT2,TRUE,TRUE
WLS,TRUE,TRUE
NR3C2,TRUE,TRUE
CTD-2545H1.2,TRUE,TRUE
NR2F1-AS1,TRUE,TRUE
RP11-361H10.5,TRUE,TRUE
KRTAP5-8,TRUE,TRUE
LRRC2,TRUE,TRUE
RP11-251M1.1,TRUE,TRUE
EXOC3L2,TRUE,TRUE
PP7080,TRUE,TRUE
CAPZA3,TRUE,TRUE
HPSE2,TRUE,TRUE
VSIG2,TRUE,TRUE
RP11-527L4.2,TRUE,TRUE
LRRC28,TRUE,TRUE
CCNI2,TRUE,TRUE
CHRNA4,TRUE,TRUE
CYFIP2,TRUE,TRUE
TRIB2,TRUE,TRUE
BBC3,TRUE,TRUE
CADPS2,TRUE,TRUE
MT3,TRUE,TRUE
PCDH19,TRUE,TRUE
TRAPPC3L,TRUE,TRUE
HPCAL4,TRUE,TRUE
RAET1E,TRUE,TRUE
MELK,TRUE,FALSE
RP11-208K4.1,TRUE,TRUE
CER1,TRUE,TRUE
C2orf71,TRUE,FALSE
CYP4A22,TRUE,TRUE
SLC45A1,TRUE,TRUE
VGLL1,TRUE,TRUE
NAT8L,TRUE,TRUE
PRSS22,TRUE,TRUE
GATA3-AS1,TRUE,TRUE
NRIP2,TRUE,TRUE
RP11-359N11.1,TRUE,TRUE
RP11-193J6.1,TRUE,TRUE
HS3ST3B1,TRUE,TRUE
RCAN1,TRUE,TRUE
CYP4X1,TRUE,TRUE
RP11-21A7A.2,TRUE,TRUE
CTD-2243E23.1,TRUE,TRUE
DNM3OS,TRUE,TRUE
ADGRF5,TRUE,TRUE
AC011239.2,TRUE,TRUE
C3,TRUE,TRUE
FAM3B,TRUE,TRUE
EPM2A,TRUE,TRUE
PRMT8,TRUE,TRUE
CLMN,TRUE,TRUE
WNT8B,TRUE,TRUE
LILRB4,TRUE,TRUE
SELP,TRUE,TRUE
EFCC1,TRUE,TRUE
GSTM3,TRUE,TRUE
MOGAT2,TRUE,TRUE
ADAMTSL2,TRUE,TRUE
RP11-752D24.2,TRUE,FALSE
RP11-442O1.3,TRUE,TRUE
PIWIL1,TRUE,TRUE
EYA4,TRUE,TRUE
RP11-445F12.1,TRUE,TRUE
CORO7,TRUE,TRUE
WT1,TRUE,TRUE
ARPC1B,TRUE,TRUE
HK2,TRUE,TRUE
VAT1L,TRUE,TRUE
CLDN14,TRUE,TRUE
COX20,TRUE,TRUE
CYP4B1,TRUE,TRUE
CRTAP,FALSE,TRUE
KCNQ1,TRUE,TRUE
SLC14A1,TRUE,TRUE
SEMG2,TRUE,TRUE
GRIK2,TRUE,TRUE
LINC01020,TRUE,TRUE
LA16c-329F2.1,TRUE,TRUE
RP11-516J2.1,TRUE,TRUE
IKBIP,TRUE,TRUE
RIMBP2,TRUE,TRUE
PLCXD3,TRUE,TRUE
ERBB4,TRUE,TRUE
JPH4,TRUE,TRUE
RP4-710M3.1,TRUE,TRUE
NRN1,TRUE,TRUE
PNMT,TRUE,TRUE
RPS24P17,TRUE,TRUE
DDX25,TRUE,TRUE
IDI1,TRUE,TRUE
GATA2,TRUE,TRUE
CDKN2A,TRUE,TRUE
CTXN3,TRUE,TRUE
STAP1,TRUE,TRUE
LINC01055,TRUE,TRUE
EFHD1,TRUE,TRUE
GGACT,TRUE,TRUE
AC069213.1,TRUE,TRUE
EDA2R,TRUE,TRUE
CD68,TRUE,TRUE
RP11-284F21.9,TRUE,TRUE
AC004870.5,TRUE,TRUE
CAMK2A,TRUE,TRUE
MAGI3,TRUE,TRUE
COL4A6,TRUE,TRUE
ADGRL4,TRUE,TRUE
RP11-424C20.2,TRUE,FALSE
SELE,TRUE,TRUE
TRPM5,TRUE,TRUE
SOCS2,TRUE,TRUE
GRM1,TRUE,TRUE
GSTA2,TRUE,TRUE
C9orf84,TRUE,TRUE
LINC01485,TRUE,TRUE
CTD-2004A9.1,TRUE,TRUE
RP11-459D22.1,TRUE,TRUE
RUNX1T1,TRUE,TRUE
S1PR1,TRUE,TRUE
PVALB,TRUE,TRUE
PVT1,TRUE,TRUE
ATP6V0A4,TRUE,TRUE
WT1-AS,TRUE,TRUE
AFM,TRUE,TRUE
PCDH9,TRUE,TRUE
RP11-352D13.5,TRUE,TRUE
RP13-895J2.4,TRUE,TRUE
ATP4B,TRUE,TRUE
HRC,TRUE,TRUE
TTR,TRUE,TRUE
DRD1,TRUE,TRUE
RP11-134L10.1,TRUE,TRUE
TIMP1,TRUE,TRUE
FXYD6,TRUE,TRUE
TNNI1,TRUE,TRUE
RP11-66N24.6,TRUE,FALSE
NR1I3,TRUE,TRUE
E2F1,TRUE,TRUE
MECOM,TRUE,TRUE
TMEM204,TRUE,TRUE
KANK4,TRUE,TRUE
PPFIA2,TRUE,TRUE
RP5-849H19.3,TRUE,TRUE
TEF,TRUE,TRUE
ANGPTL3,TRUE,TRUE
RP11-321G12.1,TRUE,TRUE
PINK1,TRUE,TRUE
ZSCAN1,TRUE,TRUE
RP11-789C1.1,TRUE,TRUE
MYOZ2,TRUE,TRUE
PTCSC3,TRUE,TRUE
CRYAA,TRUE,TRUE
GJA5,TRUE,TRUE
MGAT4C,TRUE,TRUE
ENG,TRUE,TRUE
JAM2,TRUE,TRUE
NDST3,TRUE,TRUE
FGF1,TRUE,TRUE
CDA,TRUE,TRUE
AF186192.5,TRUE,TRUE
CMTM5,TRUE,TRUE
IGFBP2,TRUE,TRUE
RP11-1070N10.6,TRUE,TRUE
NR4A1,TRUE,TRUE
PKNOX2,TRUE,TRUE
NR4A3,TRUE,TRUE
RP11-527L4.9,TRUE,TRUE
RP11-389C8.2,TRUE,TRUE
KDR,TRUE,TRUE
RP11-120K24.3,TRUE,TRUE
CTB-171A8.1,TRUE,TRUE
PRSS3,TRUE,TRUE
ANGPT1,TRUE,TRUE
EGFL7,TRUE,TRUE
GRID2,TRUE,TRUE
PKMYT1,TRUE,TRUE
TACR3,TRUE,FALSE
NPHS2,TRUE,FALSE
PAQR4,TRUE,TRUE
KCNN3,TRUE,TRUE
LRRC55,TRUE,TRUE
NOL3,TRUE,TRUE
AC006126.4,TRUE,TRUE
AVPR1A,TRUE,TRUE
BNIPL,TRUE,TRUE
WDFY2,TRUE,TRUE
GREM2,TRUE,TRUE
LY86-AS1,TRUE,TRUE
MRGPRF,TRUE,TRUE
P4HB,TRUE,TRUE
KBTBD12,TRUE,TRUE
SCTR,TRUE,TRUE
CNNM2,TRUE,TRUE
C15orf56,TRUE,TRUE
SYT1,TRUE,TRUE
SH3BP4,TRUE,TRUE
RNF152,TRUE,TRUE
COL9A2,TRUE,TRUE
RP11-384F7.2,TRUE,TRUE
UNCX,TRUE,TRUE
NIPAL1,TRUE,TRUE
S100A2,TRUE,TRUE
TBC1D24,TRUE,TRUE
TKT,TRUE,TRUE
FAM217A,TRUE,TRUE
PLG,TRUE,TRUE
LMO2,TRUE,TRUE
GSTA1,TRUE,TRUE
C1QTNF7,TRUE,TRUE
LIMK1,TRUE,TRUE
FDXR,TRUE,TRUE
LRIT3,TRUE,TRUE
CEP55,TRUE,FALSE
ACOT12,TRUE,TRUE
ANKRD46,TRUE,TRUE
ADRA2B,TRUE,TRUE
ENPP6,TRUE,TRUE
TCF7L1,TRUE,TRUE
ASPHD1,TRUE,TRUE
RP11-879F14.1,TRUE,FALSE
PCAT19,TRUE,TRUE
RP11-81H14.2,TRUE,TRUE
RPL29P19,TRUE,TRUE
ZNF44,TRUE,TRUE
GALNT18,TRUE,TRUE
PDE8B,TRUE,TRUE
MST1L,TRUE,TRUE
RP11-401P9.4,TRUE,TRUE
B3GALT2,TRUE,TRUE
CYP2B6,TRUE,TRUE
FAM222A,TRUE,TRUE
FAM162B,TRUE,TRUE
FAM65C,TRUE,TRUE
KIF26A,TRUE,TRUE
ERVMER34-1,TRUE,TRUE
PSMB8,TRUE,TRUE
RP11-613D13.8,TRUE,TRUE
ARHGAP22,TRUE,TRUE
ESAM,TRUE,TRUE
PAQR7,TRUE,TRUE
CHP2,TRUE,TRUE
SSUH2,TRUE,TRUE
LDHC,TRUE,TRUE
CATIP-AS2,TRUE,TRUE
CPA1,TRUE,FALSE
RBFOX1,TRUE,TRUE
COLGALT1,TRUE,TRUE
SERPINA4,TRUE,TRUE
PLOD3,TRUE,TRUE
CH507-152C13.3,TRUE,FALSE
U47924.27,TRUE,TRUE
UHRF1,TRUE,TRUE
HMX2,TRUE,FALSE
IRX2,TRUE,TRUE
AC018647.3,TRUE,TRUE
GABRA4,TRUE,TRUE
TAP1,TRUE,TRUE
RP11-710C12.1,TRUE,TRUE
SSBP3,TRUE,TRUE
AC096574.5,TRUE,TRUE
CACNA2D2,TRUE,TRUE
XPNPEP2,TRUE,TRUE
TRPC6,TRUE,TRUE
HIST3H2A,TRUE,TRUE
FXYD3,TRUE,TRUE
LINC00443,TRUE,TRUE
PLBD2,TRUE,TRUE
CYP4A11,TRUE,TRUE
TNNC1,TRUE,TRUE
FAM64A,TRUE,FALSE
RP4-684O24.5,TRUE,TRUE
CHODL,TRUE,TRUE
FCGR3A,TRUE,TRUE
RASIP1,TRUE,TRUE
GATA3,TRUE,TRUE
CALCA,TRUE,TRUE
FSTL4,TRUE,TRUE
ARAP3,TRUE,TRUE
OR7E91P,TRUE,TRUE
AP000783.1,TRUE,TRUE
RP3-380B4.1,TRUE,FALSE
TMSB10,TRUE,TRUE
PCDH12,TRUE,TRUE
FABP1,TRUE,TRUE
RP11-380I10.4,TRUE,FALSE
CDH20,TRUE,TRUE
NEDD9,TRUE,TRUE
RP11-379F12.3,TRUE,TRUE
SLC25A33,TRUE,TRUE
SEZ6L2,TRUE,TRUE
DPT,TRUE,TRUE
TBX3,TRUE,TRUE
EFCAB14,FALSE,TRUE
GAS6-AS1,TRUE,TRUE
PVRL4,TRUE,TRUE
CLDN16,TRUE,TRUE
SPSB4,TRUE,TRUE
PTGFRN,TRUE,TRUE
