gene_id,logFC_Paired,FDR_Paired,logFC_TCGA,FDR_TCGA,logFC_GTEx,FDR_GTEx,discordant,comparator_sensitive
FBP2,-1.567765625,4.68817244080846e-08,-1.54287993378553,2.96326754569159e-42,-1.07981066468254,3.05158215971646e-08,FALSE,FALSE
FH,-0.506809375,0.00432364373966997,-0.441560820413438,1.5453105370926e-11,0.589556150793652,0.00262762041398807,FALSE,FALSE
G6PC2,-0.2171625,0.217980571229634,-0.547089769056846,2.41597348760817e-06,-0.586988938492066,0.0133102114038244,FALSE,FALSE
G6PC3,0.575603125000001,4.50624879401102e-06,0.673668435077519,1.05547677480296e-33,1.47693645833333,1.14762133875664e-16,FALSE,FALSE
G6PD,1.488609375,1.84074934743953e-06,1.21139446059432,2.41922010991024e-30,1.43883978174603,1.61860545299832e-08,FALSE,FALSE
GALM,-1.077396875,1.83648023780366e-06,-0.811701728036176,3.3795208298853e-19,0.588642956349206,0.00692863409727049,FALSE,TRUE
GAPDH,1.101528125,6.69009651136194e-11,1.13991096576227,4.33550562903396e-61,1.66786259920635,6.85747209427282e-13,FALSE,FALSE
GAPDHS,0.248328125,0.148657454516034,0.0834325096899222,0.175701031259258,-0.980224107142858,4.56180126349784e-12,FALSE,FALSE
GCK,-1.049921875,0.00616061821278611,-1.31137524224806,5.19323646470189e-17,-1.16888363095238,0.000281656345620756,FALSE,FALSE
GLYCTK,-1.3371875,0.000144981734385279,-0.304473699935402,0.0233528519343236,-0.600443799603176,0.0334021172133659,FALSE,FALSE
GPI,0.494090625,0.000722076762949172,0.423110723514211,8.62898487273526e-12,1.19546825396826,6.86704384990359e-09,FALSE,FALSE
H6PD,0.51679375,0.000304421587978684,0.317382889211886,1.51033333837382e-06,0.920524057539688,2.38289206125642e-06,FALSE,FALSE
HK1,-0.510056249999999,0.0485031452946943,-0.845299249031009,2.24297421200145e-17,0.0560635416666653,0.842410186764544,FALSE,FALSE
HK2,3.33899375,1.88846234692189e-12,3.02068552971576,1.45522073887172e-88,3.55374206349207,1.95703306120931e-35,FALSE,FALSE
HK3,2.25939375,4.74741299340459e-07,1.92920496608527,1.03469800992142e-32,-0.208498660714284,0.570022309075912,FALSE,TRUE
HKDC1,1.1649875,2.05541927759459e-06,0.852325411821707,1.12658667838672e-09,0.976093601190476,0.00260363926196878,FALSE,FALSE
IDH1,-0.387978124999999,0.0565462561850622,-0.569844323320414,1.27683963628188e-11,0.689280704365081,0.000695102121283425,FALSE,FALSE
IDH2,-1.420825,1.98833605902789e-10,-1.49458595768734,1.34365410832277e-46,-0.432831001984128,0.0876962697388969,FALSE,FALSE
IDH3A,-0.168540625,0.224047062484924,-0.232699668927649,2.11372804068294e-05,0.359821676587301,0.0505877711996979,FALSE,FALSE
IDH3B,0.0872218750000004,0.600162647109067,0.36666429263566,2.39940450309682e-11,0.708779464285716,8.57463818727081e-05,FALSE,FALSE
IDH3G,-0.18158125,0.107899660601303,0.241260093669251,6.51095834610486e-06,0.584363194444445,0.000783442116973238,TRUE,FALSE
IDNK,-1.7379375,2.02368493209e-09,-1.45143850936693,1.81142890907006e-51,-0.752032390873017,0.000124906845734576,FALSE,FALSE
LDHA,0.6309625,0.00466483046869215,0.242498385012918,0.00400795609592178,0.892487698412701,0.000201278822816184,FALSE,FALSE
LDHAL6A,-1.252396875,7.81888004867352e-05,-1.2345675629845,2.24484437577075e-14,-0.598098958333334,0.0860782380098104,FALSE,FALSE
LDHAL6B,-0.241209375,0.479876028376261,-0.277012023578812,0.00623187097183001,-0.894291121031745,3.24100238375384e-05,FALSE,FALSE
LDHB,-0.326565625,0.0480473420669872,-0.505770340762274,2.74807924554897e-12,0.692935168650795,0.00322400193093384,FALSE,FALSE
LDHC,-3.05911875,1.16129542191804e-11,-2.41087378068476,3.01457332435163e-27,-1.66476929563492,0.000240159967178392,FALSE,FALSE
MDH1,-0.335965624999999,0.0416229660765749,-0.335574555878554,2.45368444724833e-07,0.669361656746031,0.00110965481208995,FALSE,FALSE
MDH2,0.118924999999999,0.352828921134251,0.198215673449613,0.000710310734992158,0.911231398809525,3.70767274767115e-06,FALSE,FALSE
MINPP1,-0.246353125000001,0.0491991459656819,-0.519841561692507,3.64733047006327e-20,0.65271433531746,3.98485671693699e-05,FALSE,FALSE
OGDH,-0.483965625,0.00389882440228909,-0.49880584625323,1.48847455070968e-13,0.706152182539683,0.000762501269817782,FALSE,FALSE
OGDHL,-0.961074999999998,0.0257008244234522,-0.359030870478037,0.0418303798377892,0.735419295634921,0.0771210974068483,FALSE,TRUE
PC,-1.39080625,0.000118184439203619,-0.930190511950906,1.37822772064535e-13,-0.329985168650794,0.23009802743394,FALSE,FALSE
PCK1,-5.111653125,1.69480361970225e-09,-4.15928624838502,2.24700960313363e-40,-3.27132564484127,3.88193850548646e-08,FALSE,TRUE
PCK2,-1.69298125,6.20589463925489e-05,-1.43048851744186,5.93229280092046e-22,-0.169861607142855,0.545464260248408,FALSE,TRUE
