gene_symbol,regulation,logFC,degree,betweenness,x,y,z,size
IDNK,Down,-1.7379375,3,7e-04,-4.11622983926125,10.0895238882905,2.00706214014522,6.84601184524267
PRPS1,NS,-0.00859062500000036,2,0.357,7.37290858177322,-0.706237569731172,1.72914501730931,5.92300592262134
RGN,Down,-1.84613125,2,0,-0.26436183835265,9.92107850058481,-5.66833176891381,5.92300592262134
ACO1,NS,-0.713715625,7,0.1328,1.85708989247753,6.14120417552605,-0.314690958974633,10.538035535728
ACO2,NS,-0.706603125,14,0.0399,4.10392138612101,6.35687598093412,-4.71329997630368,16.9990769940774
CS,NS,0.255190625000001,4,0.0015,7.72789568843142,6.40903157510967,-5.49776818154411,7.76901776786401
DLST,NS,-0.412612499999999,8,0.0203,4.28548349627395,5.14815968746964,-5.26653604099759,11.4610414583494
FH,NS,-0.506809375,7,0.0116,5.04616446423284,7.45188851410739,-3.88915541143765,10.538035535728
IDH1,NS,-0.387978124999999,2,0,0.282089677714827,6.78081616609537,1.05699110619671,5.92300592262134
IDH2,Down,-1.420825,2,0.0377,11.9112997027455,-12.808288335396,10.7828923304961,5.92300592262134
IDH3A,NS,-0.168540625,1,0,8.65661436070619,4.14839101077097,-7.64966433622627,5
MDH1,NS,-0.335965624999999,12,0.0595,4.7231903514847,6.14331872188113,-2.98274353264901,15.1530651488347
MDH2,NS,0.118924999999999,4,0,4.94395033348159,6.64547970729812,-6.26381076943067,7.76901776786401
OGDH,NS,-0.483965625,4,0.0065,3.0408654669766,6.54750397222321,-6.24147651059533,7.76901776786401
OGDHL,NS,-0.961074999999998,5,0.0653,1.57662386974271,8.24557764398353,-5.01034581961198,8.69202369048535
PC,Down,-1.39080625,7,0.0762,-0.868119165063182,8.82435031229453,0.440729195221326,10.538035535728
SDHA,NS,-0.27695,13,0.0835,5.44428176708344,6.29245675669498,-4.86321154166641,16.076071071456
SDHB,NS,-0.828009375,13,0.0189,4.8203422835184,6.10132263856792,-4.09040952327926,16.076071071456
SDHC,NS,-0.531403125000001,8,7e-04,4.50790380496543,4.65998907987373,-3.411593796124,11.4610414583494
SDHD,NS,-0.933428125000002,11,0.1255,5.29529595977319,5.28902669603481,-3.6880312461892,14.2300592262134
SUCLA2,NS,-0.771671875000001,8,0.0022,5.61206742874471,4.56928566899791,-4.59886145196359,11.4610414583494
SUCLG1,NS,-0.977321875,8,0.1713,3.23421898864673,7.1183773675576,-3.3251265745798,11.4610414583494
SUCLG2,NS,-0.897099999999999,11,0.1197,4.93762159180308,4.1770031002562,-4.22912467381,14.2300592262134
