gene_id,pathway,logFC_Paired,CI.L_Paired,CI.R_Paired,P.Value_Paired,FDR_Paired,AveExpr,logFC_TCGA_adj,FDR_TCGA_adj,logFC_GTEx,FDR_GTEx
CS,hsa00020,0.2553125,0.0358325400397714,0.474792459960229,0.0238975237620528,0.0336451979281532,13.03296875,0.0284374999999995,0.790988322123945,0.870892857142857,2.82446848896012e-06
DLST,hsa00020,-0.413437500000001,-0.608820379659365,-0.218054620340636,0.000131987239024282,0.000271589126453811,12.76046875,-0.583923611111111,3.29875034998933e-08,0.289335317460318,0.1112498522336
FH,hsa00020,-0.506625000000001,-0.812231634451847,-0.201018365548155,0.00186825647827949,0.00327710562583452,11.6385625,-0.420434027777778,0.000735134175189413,0.590298115079365,0.00182275297933519
IDH1,hsa00020,-0.387375,-0.737359784796344,-0.0373902152036561,0.031050878039261,0.0415305493775116,11.467875,-0.663749999999998,2.32554295453939e-06,0.689348214285711,0.000511806530396555
IDH2,hsa00020,-1.4209375,-1.71226541932301,-1.12960958067699,1.12651123943809e-11,1.09578820563523e-10,13.11265625,-1.64840277777778,3.65548634650324e-20,-0.432420634920636,0.067625127010823
IDH3A,hsa00020,-0.16878125,-0.403431037508906,0.0658685375089056,0.153129577847771,0.182054053663461,11.147484375,-0.122760416666667,0.269791159594505,0.360150297619048,0.0401313063032931
IDH3B,hsa00020,0.0878125000000009,-0.177960940091895,0.353585940091897,0.506750422648391,0.542222952233779,11.77265625,0.234131944444444,0.0254801990889352,0.708239087301587,6.20380209121343e-05
IDH3G,hsa00020,-0.1828125,-0.3833647509207,0.0177397509207001,0.0726884857939995,0.0925912854756899,11.41953125,-0.0489965277777775,0.652130643484328,0.584440972222222,0.000563760620908212
MDH1,hsa00020,-0.3359375,-0.61905872140416,-0.0528162785958394,0.0214072802202059,0.0309537700481356,12.86203125,-0.328819444444445,0.00859836741681061,0.669751984126984,0.000765261638668007
MDH2,hsa00020,0.119375000000001,-0.0935934618557094,0.33234346185571,0.262853472722104,0.292972099804845,13.15,0.0721875000000007,0.550859541934721,0.911071428571427,2.58425146486321e-06
OGDH,hsa00020,-0.483437500000002,-0.769017633311252,-0.197857366688751,0.00153726053433564,0.00278791317243921,13.68046875,-0.712881944444444,2.87521688613917e-08,0.706448412698412,0.00054762551524312
OGDHL,hsa00020,-0.960843749999999,-1.68309493234685,-0.23859256765315,0.0105933403201216,0.0159646114683523,13.575515625,-0.853357638888888,0.0112132190801434,0.734937003968253,0.0595990733644019
PC,hsa00020,-1.39190625,-1.97143369332423,-0.81237880667577,2.34301757986624e-05,5.57117513434861e-05,11.045234375,-1.57342708333333,2.09801534154144e-13,-0.330596726190477,0.188523525034845
SDHA,hsa00020,-0.276874999999998,-0.57766505589944,0.0239150558994441,0.0700496482865573,0.0903049682730317,13.31,-0.237986111111111,0.0771642518460722,0.991165674603175,1.93930449320645e-06
SDHB,hsa00020,-0.828093750000001,-1.09847810786028,-0.557709392139727,4.03264077509209e-07,1.54104486762448e-06,11.784703125,-0.777600694444443,3.65523107780898e-11,0.0675421626984123,0.720702259318624
SDHC,hsa00020,-0.531562500000001,-0.741513856988702,-0.321611143011299,1.0563720726059e-05,2.85601791486769e-05,12.86328125,-0.565520833333332,1.40996375779568e-09,0.404613095238095,0.0253684972674648
SDHD,hsa00020,-0.933812499999999,-1.21717593752275,-0.650449062477249,9.73799228965937e-08,4.96173892854073e-07,12.49028125,-1.00787847222222,3.18069224359357e-16,0.12073759920635,0.535772819393218
SUCLA2,hsa00020,-0.770968750000001,-1.05312747787691,-0.488810022123092,3.0751271080394e-06,9.40110287314903e-06,11.027953125,-0.841381944444446,1.7082423610636e-09,0.327948412698414,0.0885356823734428
SUCLG1,hsa00020,-0.977499999999999,-1.34897363990084,-0.606026360099161,5.72714414649956e-06,1.65622817209582e-05,12.829375,-0.913194444444445,1.98346762696577e-10,-0.052569444444444,0.800374273386322
SUCLG2,hsa00020,-0.89753125,-1.24366638457595,-0.551396115424049,7.25355055835704e-06,2.0424471309058e-05,12.037796875,-0.913989583333334,1.21522660168632e-10,0.34293005952381,0.0903902578284235
